time,section_raw_DOF1,section_baseline_DOF1,section_relative_DOF1,inertia_raw_DOF1,inertia_baseline_DOF1,inertia_relative_DOF1,dynamic_DOF1,section_raw_DOF2,section_baseline_DOF2,section_relative_DOF2,inertia_raw_DOF2,inertia_baseline_DOF2,inertia_relative_DOF2,dynamic_DOF2,tower_base_shear
0.5400000000000003,1555450.1534651243,32443.81251679687,1523006.3409483274,379380.9663224145,-159869.7557506284,539250.7220730429,983755.6188752846,-2335510376.8582997,-2335510376.821715,-0.03658485412597656,-0.00013942196303180776,0.0,-0.00013942196303180776,-0.036445432162944755,983755.6188752846
0.5500000000000003,1475654.0036029415,32443.81251679687,1443210.1910861447,617137.87187189,-159869.7557506284,777007.6276225185,666202.5634636262,-2335510376.8639307,-2335510376.821715,-0.042215824127197266,-0.00014267277683069606,0.0,-0.00014267277683069606,-0.04207315135036657,666202.5634636262
0.5600000000000003,1505115.1851825314,32443.81251679687,1472671.3726657345,176527.27834842922,-159869.7557506284,336397.0340990576,1136274.338566677,-2335510376.870311,-2335510376.821715,-0.04859590530395508,-0.00014100138649401905,0.0,-0.00014100138649401905,-0.04845490391746106,1136274.338566677
0.5700000000000003,1522822.5295394836,32443.81251679687,1490378.7170226867,-53717.15419927279,-159869.7557506284,106152.6015513556,1384226.1154713312,-2335510376.8774347,-2335510376.821715,-0.055719852447509766,-0.0001356731086211982,0.0,-0.0001356731086211982,-0.05558417933888857,1384226.1154713312
0.5800000000000003,1856644.593008107,32443.81251679687,1824200.7804913102,-1336461.0075340583,-159869.7557506284,-1176591.2517834299,3000792.03227474,-2335510376.8852787,-2335510376.821715,-0.06356382369995117,-0.0001284761044416799,0.0,-0.0001284761044416799,-0.06343534759550949,3000792.03227474
0.5900000000000003,2124334.2860902576,32443.81251679687,2091890.4735734607,-2078537.6178710535,-159869.7557506284,-1918667.862120425,4010558.3356938856,-2335510376.8938103,-2335510376.821715,-0.07209539413452148,-0.00012341567281405272,0.0,-0.00012341567281405272,-0.07197197846170743,4010558.3356938856
0.6000000000000003,2340696.399740293,32443.81251679687,2308252.5872234963,-2260846.7387826215,-159869.7557506284,-2100976.9830319933,4409229.57025549,-2335510376.903005,-2335510376.821715,-0.08129024505615234,-0.0001240816334750483,0.0,-0.0001240816334750483,-0.0811661634226773,4409229.57025549
0.6100000000000003,2541341.68211215,32443.81251679687,2508897.869595353,-2255491.6532546664,-159869.7557506284,-2095621.897504038,4604519.767099391,-2335510376.9128695,-2335510376.821715,-0.09115457534790039,-0.00013365974215440168,0.0,-0.00013365974215440168,-0.09102091560574599,4604519.767099391
0.6200000000000003,2646776.367877579,32443.81251679687,2614332.555360782,-1887565.7620720956,-159869.7557506284,-1727696.0063214672,4342028.561682249,-2335510376.9234476,-2335510376.821715,-0.10173273086547852,-0.0001500433984821803,0.0,-0.0001500433984821803,-0.10158268746699634,4342028.561682249
0.6300000000000003,3044389.6651378856,32443.81251679687,3011945.8526210887,-2560946.0938815195,-159869.7557506284,-2401076.3381308913,5413022.19075198,-2335510376.934824,-2335510376.821715,-0.11310911178588867,-0.00017106284638826463,0.0,-0.00017106284638826463,-0.11293804893950041,5413022.19075198
0.6400000000000003,2709860.9639294804,32443.81251679687,2677417.1514126835,-732845.4169211793,-159869.7557506284,-572975.6611705509,3250392.812583234,-2335510376.9471145,-2335510376.821715,-0.12539958953857422,-0.00019507050977024543,0.0,-0.00019507050977024543,-0.12520451902880397,3250392.812583234
0.6500000000000004,2610791.8057058807,32443.81251679687,2578347.993189084,218440.74717206217,-159869.7557506284,378310.5029226906,2200037.4902663934,-2335510376.9604516,-2335510376.821715,-0.13873672485351562,-0.0002216439332458353,0.0,-0.0002216439332458353,-0.1385150809202698,2200037.4902663934
0.6600000000000004,1984311.1360326,32443.81251679687,1951867.323515803,2171343.1677895235,-159869.7557506284,2331212.9235401517,-379345.6000243486,-2335510376.974977,-2335510376.821715,-0.15326213836669922,-0.0002441222006141358,0.0,-0.0002441222006141358,-0.15301801616608507,-379345.6000243486
0.6700000000000004,2058795.9993193853,32443.81251679687,2026352.1868025884,1521760.6724735117,-159869.7557506284,1681630.42822414,344721.7585784483,-2335510376.9908147,-2335510376.821715,-0.1690998077392578,-0.000254740718297907,0.0,-0.000254740718297907,-0.16884506702095992,344721.7585784483
0.6800000000000004,1959427.7898271228,32443.81251679687,1926983.977310326,845722.4330689822,-159869.7557506284,1005592.1888196106,921391.7884907153,-2335510377.0080323,-2335510376.821715,-0.18631744384765625,-0.0002503845476170413,0.0,-0.0002503845476170413,-0.1860670593000392,921391.7884907153
0.6900000000000004,1670813.2461210368,32443.81251679687,1638369.43360424,1487766.071096675,-159869.7557506284,1647635.8268473034,-9266.393243063474,-2335510377.0266314,-2335510376.821715,-0.20491647720336914,-0.00023593525251489056,0.0,-0.00023593525251489056,-0.20468054195085425,-9266.393243063474
0.7000000000000004,2135674.3866062285,32443.81251679687,2103230.5740894317,-840569.2301167819,-159869.7557506284,-680699.4743661535,2783930.0484555853,-2335510377.046554,-2335510376.821715,-0.2248392105102539,-0.00021751007532605504,0.0,-0.00021751007532605504,-0.22462170043492785,2783930.0484555853
