time,displacement,displacement_increment,absolute_displacement,acceleration,tower_base_moment,tower_base_shear,damper_force,damper_stroke,ground_displacement,ground_velocity,ground_acceleration
24.350000000001007,-0.06481707635089817,-0.06481707635089817,-0.3561105482837301,-0.18530209840055686,943436731.1945066,-21265410.143852904,68914.74109664373,0.05858887380567057,0.044220598270001236,0.05325638600000013,0.2274992
24.36000000000101,-0.06504535234970807,-0.06504535234970807,-0.35633891620791514,-0.3737958686406009,979326301.1804241,-26943948.13877724,102367.75417934106,0.0586253933162548,0.044769194940001235,0.05646294800000013,0.4138132
24.37000000000101,-0.06531272111668313,-0.06531272111668313,-0.35660638152967766,-0.6310020674191185,1024376412.7105027,-35706647.799482524,135007.50021264324,0.05868035909721525,0.045360888980001235,0.06187586000000013,0.6687692
24.38000000000101,-0.06563213065502566,-0.06563213065502566,-0.35692589214393755,-0.4460116964173632,1073357906.0339189,-32931800.758541092,172733.5512436926,0.05875661684217637,0.046008428190001234,0.06763198200000013,0.4824552
24.390000000001013,-0.06600483428245704,-0.06600483428245704,-0.35729870120961915,-0.6089125966123323,1129550306.5464196,-37857778.27275668,216602.75537736627,0.05885911854460543,0.046712915745001235,0.07326552900000013,0.6442542
24.400000000001015,-0.06642229779283795,-0.06642229779283795,-0.35771627441169856,-0.12672856627069146,1178159985.6981788,-26924128.567420725,262719.02866513835,0.05899204382224829,0.047465673335001235,0.07728598900000014,0.1598378
24.410000000001016,-0.0668555198704783,-0.0668555198704783,-0.35814961027635905,0.23189071557844787,1213015408.9158154,-14765669.732385797,307886.83097237465,0.0591572478676447,0.048237479080001235,0.07707516000000014,-0.2020036
24.420000000001018,-0.06727350006182262,-0.06727350006182262,-0.358567708183988,0.27256889750879587,1233258744.226313,-12573914.750573196,344116.0698616913,0.05935211384713282,0.04899695378000123,0.07481978000000014,-0.2490724
24.43000000000102,-0.06766484512563037,-0.06766484512563037,-0.3589591746842821,0.2883765908676999,1242021642.2889404,-10365478.241035212,367967.67340414313,0.05956930895802659,0.04973210960000123,0.07221138400000014,-0.2726068
24.44000000000102,-0.06803272003674449,-0.06803272003674449,-0.3593271745370635,0.08948402850171709,1247151526.9500775,-14886097.33584056,383521.794848599,0.0598014107014731,0.05044537352500123,0.07044140100000014,-0.0813898
24.450000000001022,-0.06839069955631741,-0.06839069955631741,-0.3596852822811089,-0.0715498319882283,1253372603.3713932,-18955350.33662359,394524.923344695,0.06004371510616199,0.051149566900001234,0.07039727400000013,0.0725644
24.460000000001024,-0.06875160523682392,-0.06875160523682392,-0.36004631925996333,-0.0635106810668383,1260813929.2764258,-18890782.03181246,405719.17004298634,0.060294735372807745,0.051856824650001236,0.07105427600000014,0.058836
24.470000000001026,-0.06911805688307668,-0.06911805688307668,-0.3604129050743113,-0.02338222562174087,1267843462.4546616,-17123414.312850256,419036.3844722477,0.06055550902181525,0.052569181520001236,0.07141709800000014,0.0137284
