Time,Damp2000_UX,Damp2010_UX,Damp3000_UX,Damp3010_UX
4.05,4.7160435E-02,4.718688475E-02,-4.473896966E-02,-4.476707934E-02
4.06,4.697708163E-02,4.70032518E-02,-4.456672451E-02,-4.459453027E-02
4.07,4.678454402E-02,4.681040886E-02,-4.439545724E-02,-4.442296327E-02
4.08,4.658279611E-02,4.660830586E-02,-4.422581894E-02,-4.425305518E-02
4.09,4.637237056E-02,4.639749329E-02,-4.405790314E-02,-4.408488339E-02
4.1,4.61503661E-02,4.617506858E-02,-4.38952378E-02,-4.392197884E-02
4.11,4.591459038E-02,4.593881799E-02,-4.374064123E-02,-4.376718283E-02
4.12,4.566895138E-02,4.569265192E-02,-4.359082949E-02,-4.361721061E-02
4.13,4.542321671E-02,4.544638363E-02,-4.343665681E-02,-4.346287228E-02
4.14,4.518352682E-02,4.5206212E-02,-4.327260225E-02,-4.329858994E-02
4.15,4.494570954E-02,4.496796734E-02,-4.310345401E-02,-4.312915079E-02
4.16,4.470497315E-02,4.472680195E-02,-4.293461455E-02,-4.296001448E-02
4.17,4.44677688E-02,4.448915466E-02,-4.276023666E-02,-4.278534739E-02
4.18,4.424179259E-02,4.426278524E-02,-4.257322141E-02,-4.25979881E-02
4.19,4.402654902E-02,4.404722258E-02,-4.23746544E-02,-4.239899901E-02
4.2,4.382347225E-02,4.384386905E-02,-4.216368317E-02,-4.218756055E-02
4.21,4.36335796E-02,4.365375294E-02,-4.193986267E-02,-4.196321771E-02
4.22,4.34494366E-02,4.346942784E-02,-4.171118977E-02,-4.173398026E-02
4.23,4.326319587E-02,4.328297836E-02,-4.148606327E-02,-4.150831601E-02
4.24,4.307096403E-02,4.309048089E-02,-4.126891595E-02,-4.129068879E-02
4.25,4.286898434E-02,4.288817452E-02,-4.106403126E-02,-4.108538715E-02
4.26,4.264928329E-02,4.266806608E-02,-4.087989634E-02,-4.090091871E-02
4.27,4.240781767E-02,4.242607457E-02,-4.072105412E-02,-4.074186505E-02
4.28,4.21599708E-02,4.21776065E-02,-4.057260691E-02,-4.059330612E-02
4.29,4.192620687E-02,4.194327136E-02,-4.04145632E-02,-4.043510596E-02
4.3,4.170986998E-02,4.172650263E-02,-4.024403896E-02,-4.026429196E-02
4.31,4.150757281E-02,4.15238598E-02,-4.006486695E-02,-4.008475073E-02
4.32,4.132056911E-02,4.133656371E-02,-3.987622283E-02,-3.989569135E-02
4.33,4.114621575E-02,4.116198054E-02,-3.9681163E-02,-3.97001615E-02
4.34,4.097628929E-02,4.099184573E-02,-3.948830803E-02,-3.950682339E-02
4.35,4.081446323E-02,4.08297885E-02,-3.929436499E-02,-3.931242891E-02
4.36,4.068145899E-02,4.069660359E-02,-3.907897637E-02,-3.909654771E-02
4.37,4.059725073E-02,4.061240862E-02,-3.88225155E-02,-3.883941016E-02
4.38,4.057098417E-02,4.05864131E-02,-3.851616882E-02,-3.853213934E-02
4.39,4.059357879E-02,4.060951006E-02,-3.816933716E-02,-3.818416302E-02
4.4,4.064391963E-02,4.066045801E-02,-3.780344967E-02,-3.781703725E-02
4.41,4.070145353E-02,4.071855351E-02,-3.743937055E-02,-3.745177648E-02
4.42,4.074236535E-02,4.075988384E-02,-3.710122074E-02,-3.71125986E-02
4.43,4.074366177E-02,4.076133643E-02,-3.681228627E-02,-3.682290755E-02
4.44,4.070031109E-02,4.071781117E-02,-3.657786218E-02,-3.658806483E-02
4.45,4.062469992E-02,4.064176996E-02,-3.638578337E-02,-3.639582827E-02
4.46,4.051929343E-02,4.053579778E-02,-3.623377314E-02,-3.624380078E-02
4.47,4.038506071E-02,4.040085948E-02,-3.612102014E-02,-3.613117543E-02
4.48,4.024258813E-02,4.025757795E-02,-3.602704742E-02,-3.603743882E-02
4.49,4.011219268E-02,4.012644464E-02,-3.59316377E-02,-3.594220148E-02
4.5,3.999610941E-02,4.000976171E-02,-3.583272038E-02,-3.584332986E-02
4.51,3.988659882E-02,3.989973519E-02,-3.573839868E-02,-3.57489898E-02
4.52,3.978877327E-02,3.980140613E-02,-3.564383297E-02,-3.565439855E-02
4.53,3.972279524E-02,3.973498633E-02,-3.552877361E-02,-3.553923446E-02
4.54,3.969729321E-02,3.970923336E-02,-3.538452483E-02,-3.539468226E-02
4.55,3.969386836E-02,3.970571316E-02,-3.522949503E-02,-3.523919449E-02
4.56,3.969361269E-02,3.970533943E-02,-3.508253064E-02,-3.509179593E-02
4.57,3.9702246E-02,3.971377172E-02,-3.493782001E-02,-3.494673895E-02
4.58,3.973768296E-02,3.974904677E-02,-3.477735688E-02,-3.478589956E-02
