Time,Tower_FX,Tower_FY,Tower_MY,Tower_MZ
5.33,26909.1994,30552452.7,-8.435846569E-04,-4701341.91
5.34,134282.898,30552261.6,-8.687393366E-04,-5801249.42
5.35,442866.3,30551815.3,-1.200889596E-03,-9080785.28
5.36,392952.261,30551100.3,-1.131909465E-03,-9550837.73
5.37,369968.684,30550126.6,-1.086897626E-03,-10118496
5.38,299393.739,30548911.9,-9.776574354E-04,-10046499.3
5.39,-77626.7988,30547489,-5.270564641E-04,-6666403.08
5.4,-31774.3717,30545859.5,-4.798326116E-04,-6520905.37
5.41,-240746.37,30544017.6,-2.171096252E-04,-3870746.87
5.42,124994.671,30541936.3,-4.686596663E-04,-6494437.45
5.43,128388.606,30539618.2,-4.707504272E-04,-6368680.94
5.44,-35431.1223,30537105.1,-3.633907352E-04,-4629002.94
5.45,24247.6217,30534379.8,-4.048952128E-04,-4666382.94
5.46,166514.763,30531451.1,-5.01286303E-04,-5674923.65
5.47,-41794.363,30528352.6,-4.190851237E-04,-3554381.48
5.48,165143.593,30525070.6,-5.270127928E-04,-5085059.96
5.49,506480.426,30521601.1,-6.778111215E-04,-8460516.92
5.5,323430.904,30517999.7,-6.450875847E-04,-7484385.73
5.51,383315.685,30514247.8,-6.799930177E-04,-8476913.17
5.52,276759.696,30510348.7,-6.813337029E-04,-7875891.52
5.53,404145.16,30506310.5,-7.17327187E-04,-9367973.61
5.54,168218.109,30502148.1,-7.217764178E-04,-7493882.69
5.55,-291657.579,30497889.1,-7.538270295E-04,-2780639.84
5.56,-313912.185,30493491.2,-8.138839537E-04,-1250349.23
5.57,-435347.7,30488945.1,-8.790634685E-04,1328391.23
5.58,-588842.068,30484253.2,-9.470555217E-04,4446688.7
5.59,-879664.338,30479402.1,-1.048861242E-03,9289506.85
5.6,-865874.059,30474359.2,-1.086213932E-03,11728091
5.61,-455886.137,30469122.8,-9.619674677E-04,10058053.7
5.62,-368952.568,30463791.4,-8.513211261E-04,10440221.8
5.63,-175961.38,30458403.8,-6.609720406E-04,9390501.37
5.64,-238518.302,30452948.3,-5.448843119E-04,10357936.6
5.65,8351.58139,30447408.6,-2.94246719E-04,8273314.77
5.66,-44254.6163,30441786.2,-1.602306256E-04,8521562.9
5.67,-336520.239,30436054.8,-1.757228581E-04,11211481.6
5.68,-100813.182,30430215.2,2.955721378E-05,9320600
5.69,63464.5632,30424293.8,2.215048127E-04,7513835.07
5.7,67113.2416,30418284.2,3.335304092E-04,6801787.8
